,Texts,SWN Analysis,Emotions
152,"Sometime i thought im here just for tht piece of certificate, not for knowledge, and yet i need to pay it with ptptn and my mental health",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
153,Nobody:… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
154,Shhhh,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
155,"Hi seniorsssss , can i ask for bachelor applied science (maths and eco ) ,what language will  the lecturer uses for teaching  ? how about thesis and assignment  ? For  shy or lazy to reply me  ,can put",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.6, 'Fear': 0.2}"
156,最近姐姐在restu canteen 都沒有看到帥弟弟了 弟弟們你們回家了是吗？姐姐很想念你們知道嗎？難得來usm做么不要留多一下給姐姐養眼一下。現在的restu canteen 來來去去都是那個幾個男生，如果需要姐姐可以幫你們打扮打扮一下，不要每天穿tshirt 運動褲了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
157,"USM needs to update the E-learning. When I answered the WUS101 quiz, I clicked the ""submit all"" ... then the page keeps loading and loading and loading. I just wait and watch the time flowing and it makes me almost heart attacked. Luckily it's … See More",Negative,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.38}"
158,usm附近budget 400 可以租的到有carpark的房間嗎，有沒有什麽好介紹,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
159,Yuruse imouto yo… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
160,你接下来的成绩将会是：,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
161,stpm成绩出得七七八八了 最后好像会在3.42左右 看了看全升去年cs录取的pointer 3.67。。。我是不是进不到了？我知道再前一两年是有办法进到的 是不是录取的水准越来越高了？ 有人去年是低过3.5进到的吗。。。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
162,😭,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
163,😢,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
164,Hi.,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
165,亲爱的邻居:,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
166,"Sometimes, I do miss being in the dental clinic, making those dental procedures like history taking, scaling, restoration etc. It's a hard journey to reach that level but I'm not good enough to reach until the end. But i have no regrets as well as I believe everything happens with a reason. Maybe it's not the best for me no matter how much I like it and no matter how much I work hard for it",Negative,"{'Happy': 0.07, 'Angry': 0.14, 'Surprise': 0.21, 'Sad': 0.29, 'Fear': 0.29}"
167,友情是经不起推敲的。。。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
168,Yes and M*M* did this too,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
172,why nobody ever say they are having issue in pay school fee due to pkp?… See More,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
173,"Love is blind. I almost kiss his cheeks misunderstood he likes me too, rasa nak seret muka ni 5 kilometer, luckily i didn't do it.",Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
174,有读enviroment 科系的senior 吗？想问未来的可以做什么工作？谢谢！,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
176,You're not an errand girl anymore you're be MY errand girl,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
177,You guys wanna know something? We at h*alth c*mpus haven't went out from campus area for a month already. So easy for the management to say buy our things from food panda or grab. Don't you know it's more expensive there? Not to mention the delivery fees. It's the same when buying things from shoppe or lazada. Thank goodness u*istorage don't have to berebut for slot anymore. We can't even exercises properly. Do you think our mental health is a joke? We may look … See More,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.22, 'Fear': 0.11}"
178,"Hi everyone, I want to ask, at USM the mother is there any men's haircut services. Thank You,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
179,"想回下, JPA scholarship 有给STPM 生吗? 为什么官方网站里却只有SPM.... 我是新生, 有申请UPU 了但想请奖学金减轻父母负担。",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
180,"Let's say if you are in a relationship, please don't stop texting him/her. For my situation, me, and my girl in different places. She won’t text me for 1-2 days continuously and if I text her she just replied for my question with simple text. A… See More",Neutral,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.5}"
182,"下个sem 要来 usm main campus intern, 想加入 usm info sharing corner的group survey看哪里有得租房, 可是一直都没被批....哪位大大 有 cable 可以让我进那个group 吗？",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}"
183,Lecturer: if u have any questions ask me… See More,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
184,现在住在學校宿舍的我只剩下200塊的 生活費而已，想問一下學校里面哪裡還有工作可以做的？薪水低沒關係我只是想要賺生活費而已，之前有做過waiter和奶茶店和cafe，感恩,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
185,我现在在宿舍 超级想吃马来糕点 学校里面有卖吗 我看了外卖都没有,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
186,"WHAT DOES 'I'm going to go to the middle of the day"" mean??? every chinese post translation is I'm going to go to the middle of the day.",Neutral,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
187,Why so hard one  I really donno how to study liao la so hardddddd,Negative,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
188,纯粹来发泄，我是古晋Swinburne出来的，finance 4.0， 人在槟城，去interview有一个和我一样finance 4.0的来，结果老板聘请他，WTF 一个破烂USM可以进，我这个花了将多钱老板说我不够格，天理何在？！？！,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
189,societies please stop legalised the propaganda/ideology/concept of activities>academic.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
190,Can chinese confession provide English translation so non chinese reader dont have to read im going to the middle of the day  im going to the middle of the day  im going to the middle of the day  im going to the middle of the day  im going to the middle of the day,Negative,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
191,just watched nevertheless drama and it brings so much thoughts… See More,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
192,姐想送给即将入学的art students一些话(只针对想好好读书的人):,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
193,当初执着喜欢我的你，为了你也牺牲了我多年的感情，最后你却说：对不起，我不谈感情。我真的笑了，对，没错，讲的就是你。这种男人大家有什么看法吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
194,东西放在宿舍仓库一年多了，不知道它们会不会修炼成精。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
195,嗨大家 请问 JPA 申请结果出了吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
196,Turnitin 很神奇，我改越多，plagiarism percentage越变越高，而且很多句子还是我自己写的。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
197,"I want to ask.. students who stay at campus can go back to their hometown? If possible, how to get a cross-state letter.,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.67}"
198,"Non chinese reader when translate the chinese confession be like,If u trust tech,the translation on FB and Google nowadays are pretty accurate, glad u are always curious and am happy to inform u something… See More",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.17}"
199,Kita student sudah 3 tahun x tidur loh!,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
200,Selangor friends,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
201,Long live PN,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
204,哥哥表示同意 Aether approved this,Neutral,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
206,Practical classes become virtual lab due to the unpredictable conditions... due to current circumstances... But at least make sure that students are allow to go back home no matter what and how... We had been staying here for months but doing nothing just online class and waiting for the latest announcement.... I believe some of us do have conducive condition at home as compare to hostel but we need to pay hostel fee for online class in room..... Students spend … See More,Positive,"{'Happy': 0.0, 'Angry': 0.08, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.25}"
207,"Hi, group c, d, e and f",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
208,Hallo 大家好，相信你们大多数都已经看了《你的婚礼》这部戏吧。,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
209,"请问是否有人拿过WMU102 -  makers? 方便透露教学方式以及要做什么,会难score 吗？",Neutral,"{'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
210,"请问我要申请奖学金,需要学校pengesahan, 现在这种情况是可以email吗, 要email去哪里呢? 不好意思, 我firstyr不是很了解. 谢谢好心人的解答",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
211,"Easy assignment but end up stuck at the first part and using my whole day to find data from experiment. What course is this? Data analytic? Why so stubborn on the data..... Finished whole assignment but have to do it again from the beginning because of the data, What is your problem",Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.67}"
212,I have nothing to say,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
213,Please let me post without typing anything,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33}"
214,我对这个国家的政府很失望，更对这个国家的某些人无言。我不明白，为什么读理科专业毕业的人要求合理起薪和待遇就会被狂酸？我们成为专业人士，争取自己的权益，错了么？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
215,希望各位大大可以给于意见,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
216,"Anyone suffer from backpain? Study from home everyday sit on plastic chair... Especially when need to rush project, I have to sit on the chair for the whole day after one year now I start to get backpain.... I am looking into some cushion like spinelief or spilax... Wanna ask if anyone use those before? Which one is more recommended?",Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.29}"
218,I just want to go home. Hug my mom dan my cat. Feed myself a good and yummy home cooked meals and enjoying my day with my cat that ignoring me every time i call her and enjoying the air in the village even it's the same as here. I also want to get out from this usm not very far away. Just go to someplace that not in usm. Like tesco.. i know it's mco but iam really tired siting quietly in my room. I am introvert but i done enjoying me time. I really want to talk … See More,Positive,"{'Happy': 0.42, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.17}"
219,I hate stubborn group members especially group leaders!!!,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.33, 'Fear': 0.0}"
220,人生最悲哀的事情莫过于老师把你做得很幸苦的东西，在跟老师分享想法后，被她分享给了她其他的学生。以那个学生可能会不及格的借口。以她跟你说只是给她看排版的借口，说给她看一下而已，結果转头整份share给她。虽然还没做完，但是排版也是一种设计。感觉努力被践踏。沒心在做下去了。世道怎么就那么黑暗。到今天都不能平复心情。现在的日子本来就过得那么艰辛，为什么还那么不公平的。这是我自己去看了很多文献，才明白的，凭什么她可以这样平白就明白的。弄到我现在不再相信这位老师，还要继续跟她合作。就不能公平一点吗？这位学生不会，你应该叫她自己去google，不是把另外一个学生的东西，share给她看，当例子。都还没交的功課。分数都还没给，给分数的又是其他老师，杀了我算了，真的很不甘心。那位同学不管你跟老师是否有其他关系，不会再回你信息了，好心被狗咬。一切都是局。只怪我自己够愚蠢，蠢得沒得救了。世界都快末日的感觉，还要碰到这种鬼事情。我要做得更好吗？还是就这样了。我真的沒力，沒心了。求世道公平一点吧。不要去一点点磨灭一些人的善良，这是逼人变得自私… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
221,"Hi there just asking whether with a pointer of 3.75 for STPM, is there a chance to be accepted to do bachelor of Accounting in USM?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
223,Other 4 members: *didn't prepare bentang*,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
224,回复 #USMCFS25748,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
225,Just here for a huge shout out to the LMT100 group 1 lecturer SARA!!! Thank you for this semester and English fun!!,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.0}"
226,Hi group D and F from pharm school,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
227,hi大家求翻牌><,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
229,+60 4 653 4928 Pusat Sejahtera Pergigian,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
230,Credit to #TC3170,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
231,The first half of 2021 is going to end soon. What have you accomplished?,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
232,I don't know why I'm so clumsy for missing out messages and meetings. I really hate myself and can't stop overthinking what others might think of me,Negative,"{'Happy': 0.0, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.5, 'Fear': 0.0}"
234,如果坐下来好好沟通有用的话，那我就不需要一直忍我的roommate了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
235,大家好，我想要问下有没有任何seniors 是之前有成功apply JPA PIDN 然后毕业了之后请问你们是有继续帮政府工作或者是没有帮政府工作的呢？请问那些没有帮政府工作的seniors 你们是需要偿还借的钱吗？还是怎样呢？因为我拿到JPA 了但是我现在在犹豫到底要不要接受因为我听说毕业之后如果没有得到政府提供的工作就需要还钱（我知道还钱也有分几个情况的），所以希望有清楚关于JPA 的seniors 或者好人能解答我这个问题因为我相信很多人都有这个疑问因为实在是太乱了就像那个PTPTN first class waive 那样,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
236,"I'm not brave enough to tell  this f2f (yes, i'm quite a shy person, sorry)",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.75, 'Fear': 0.25}"
238,jpa奖学金 金额大概是多少， 会比ptptn多吗？ 多的话会多大概多少呢？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
240,From: heartbroken #usmcfs25718,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
241,别人常常说 matrik很容易考 随随便便就可以拿4.0,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
243,我对阻断我拿4.0的人抱有仇恨心态，甚至想报复，我正常吗？还是我是心理变态？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
244,"Tbf if you’re a group leader, listen to others and expand your view on their suggestions. Maybe ada yang boleh pakai, ada yang tak but listen first instead of rejecting it. It’s called group work not All Must Listen To Me Only work.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
245,"yo ,how u guys looking for bf/ gf now? which app are u using? which app has more chinese ?",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
246,"yesterday i checked the jpa result and found out my application is unsuccessful even though my cgpa got 3.8x  and im totally heart broken. my other friend who got a lower cgpa than me got the scholarship succesfully, as i know, his parents already pencen and my parents are both still working(but actually temporary not working also la because mco, but its not registered as bersara under the goverment system,soooooooo.....my family no income also la !!!!!!!!) is t… See More",Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.33, 'Fear': 0.33}"
